total,price,condition,MPN,movement,case material,band material,model,listingType
6023,5700,pre-owned,6.83E+11,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,StoreInventory
7985,7985,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory
9200,9200,pre-owned,116710,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex GMT-Master II,StoreInventory
5500,5500,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Explorer I 214270,StoreInventory
3793,3793,pre-owned,179160,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,FixedPrice
5318,5200,pre-owned,6517,Mechanical (Automatic),Gold,"none, Gold",Rolex Datejust,Auction
8550,8500,pre-owned,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction
12000,12000,pre-owned,1803,Mechanical (Automatic),"Gold, Stainless Steel","Stainless Steel, Yellow Gold",Rolex President,StoreInventory
5600,5600,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory
7689,7689,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Submariner,FixedPrice
4850,4850,pre-owned,Rolex Mens Datejust 16013,Automatic Winding Movement Caliber 3035,Stainless Steel,"Stainless Steel, Solid Gold",Rolex Datejust,FixedPrice
7500,7500,pre-owned,116334,Mechanical (Automatic),Stainless Steel,Stainless Steel,Datejust II,FixedPrice
9950,9950,pre-owned,126334,Mechanical (Automatic),Stainless Steel,Stainless Steel,Datejust II,FixedPrice
12000,12000,pre-owned,18239,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,FixedPrice
8500,8500,pre-owned,69178,Mechanical (Automatic),18K Solid Gold,18K Solid Gold,Rolex Datejust,Auction
7300,7250,pre-owned,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction
5995,5995,pre-owned,15200,Mechanical: Automatic,Stainless Steel,Stainless Steel,Rolex Date,StoreInventory
4500,4500,pre-owned,279160,Mechanical (Automatic),Stainless Steel,Stainless Steel,Datejust,FixedPrice
3100,3100,pre-owned,1601,Mechanical: Automatic/Kinetic,"Solid Gold, Stainless Steel","Stainless Steel and Yellow Gold, Gold, Stainless Steel",Rolex Oyster Perpetual,StoreInventory
6692,6692,pre-owned,116400GV,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Milgauss,FixedPrice
2913,2900,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,StoreInventory
3100,3100,pre-owned,1601,Mechanical: Automatic/Kinetic,"Solid Gold, Stainless Steel","Stainless Steel and Yellow Gold, Gold, Stainless Steel",Rolex Datejust,StoreInventory
6692,6692,pre-owned,116400GV,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Milgauss,FixedPrice
2913,2900,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,StoreInventory
2552,2500,pre-owned,Does Not Apply,Mechanical (Automatic),18kt Yellow Gold,Stainless Steel,Rolex Oyster Perpetual,FixedPrice
4999,4999,pre-owned,Rolex Authentic Mens Datejust 16013,Mechanical: Automatic,"Solid Gold, Stainless Steel","Original Rolex Jubilee, Solid Gold, Stainless Steel",Rolex Datejust Mens,StoreInventory
5991,5991,pre-owned,14060,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice
8900,8900,pre-owned,Does Not Apply,Swiss Automatic,Stainless Steel,Stainless Steel,Datejust Ii,FixedPrice
11995,11995,pre-owned,116610,Mechanical: Automatic,Stainless Steel,Stainless Steel,Submariner,StoreInventory
10000,10000,pre-owned,18038,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,StoreInventory
5095,5095,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer,FixedPrice
10800,10800,new with tags,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory
10550,10550,new with tags,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory
4500,4500,pre-owned,6305,Mechanical (Automatic),Gold,Leather,Rolex Oyster Perpetual,FixedPrice
5251,5250,pre-owned,16013,Mechanical (Automatic),Stainless Steel,"Stainless Steel, 18K Gold",Datejust,Auction
11060,11000,pre-owned,116660,Mechanical: Automatic,Stainless Steel,Stainless Steel,Rolex Sea-Dweller Deepsea,Auction
7493,7493,pre-owned,216570,Mechanical (Automatic),Stainless Steel,Stainless Steel,Explorer II,FixedPrice
4195,4195,pre-owned,68240,Mechanical (Automatic),Stainless Steel,Stainless Steel,DateJust Mid-Size,StoreInventory
3520,3500,pre-owned,Does Not Apply,Mechanical (Hand-winding),Gold,"Crocodile Skin, Leather",Rolex Precision,StoreInventory
8795,8795,pre-owned,6517,Automatic,"Solid Gold, Rose Gold",Rose Gold,Rolex Lady-Datejust,StoreInventory
3000,3000,pre-owned,1601,Mechanical (Automatic),"Solid Gold, Stainless Steel","Leather, Genuine Leather",Rolex Datejust,StoreInventory
7262,7212,pre-owned,Does not apply,Mechanical (Automatic),Stainless Steel,Ceramic,Rolex GMT-Master II,Auction
3540,3500,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Rolex Stainless Steel,Rolex Datejust,FixedPrice
9000,9000,new with tags,114060,Mechanical: Automatic,Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice
8411,8411,pre-owned,16613,Mechanical (Automatic),Stainless Steel,"Two-Tone: Stainless Steel & 18k Yellow Gold, Solid Gold, Stainless Steel",Rolex Submariner,Auction
7800,7800,new without tags,216570,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,StoreInventory
10099,10000,new with tags,116520,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Daytona,StoreInventory
10099,10000,new with tags,116520,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Daytona,StoreInventory
4050,4050,pre-owned,Does Not Apply,Mechanical (Hand-winding),Stainless Steel,GOLD/STAINLESS,OYSTER PREPETUAL DATE,Auction
4050,4000,pre-owned,1803,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,StoreInventory
8000,8000,pre-owned,68273,Mechanical (Automatic),Stainless Steel,"Stainless Steel, Yellow Gold",Rolex Datejust,FixedPrice
3400,3400,pre-owned,16030,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,FixedPrice
4700,4700,pre-owned,114300,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,FixedPrice
8400,8400,pre-owned,16710/2180,Mechanical (Automatic),Stainless Steel,Gold,GMT Mast II,Auction
5800,5800,pre-owned,69178,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex Datejust,FixedPrice
6600,6600,new with tags,126334,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,FixedPrice
3100,3100,pre-owned,Does not apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,FixedPrice
7050,7050,pre-owned,16710/2180,Mechanical (Automatic),Stainless Steel,Gold,GMT Mast II,FixedPrice
6789,6750,pre-owned,16600,Mechanical (Automatic),Stainless Steel,Stainless Steel,Sea-Dweller,StoreInventory
3609,3609,pre-owned,16234,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,Auction
6499,6499,pre-owned,16570,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,StoreInventory
6019,5999,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice
3605,3605,pre-owned,1625,Mechanical (Automatic),Stainless Steel,"Gold, Steel",Datejust,Auction
5995,5995,pre-owned,1501,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Date,StoreInventory
4500,4500,seller refurbished,Does Not Apply,Automatic,Stainless Steel,"Stainless Steel, Yellow Gold",Rolex Lady-Datejust,Auction
6150,6100,pre-owned,16610T,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice
8323,8000,pre-owned,18038,Mechanical (Automatic),Gold,Solid Gold,Rolex President,StoreInventory
8750,8700,pre-owned,1803,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,Auction
4800,4800,pre-owned,114300,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,FixedPrice
3920,3900,pre-owned,16203,Mechanical (Automatic),Stainless Steel,Genuine Leather,Rolex Datejust,StoreInventory
9694,9694,pre-owned,Does not apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Yacht-Master,FixedPrice
4900,4900,pre-owned,16263,Automatic Self Wind,18k Yellow Gold,Stainless Steel & 18k Yellow Gold,Datejust,FixedPrice
3100,3100,pre-owned,6917,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory
3400,3400,pre-owned,16013,Mechanical (Automatic),Stainless Steel,Genuine Leather,Rolex Datejust,StoreInventory
6995,6995,pre-owned,16710/2180,Mechanical (Automatic),Stainless Steel,Gold,GMT Mast II,FixedPrice
3088,3088,pre-owned,Does not apply,Mechanical (Automatic),"Silver, Stainless Steel",Silver,Rolex Datejust,FixedPrice
4115,4050,pre-owned,5330/8,Manual,Gold,Alligator,Rolex Cellini 5330 8,FixedPrice
4050,4000,pre-owned,1803,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,StoreInventory
7045,7000,pre-owned,78273,Mechanical (Automatic),Stainless Steel,"Stainless Steel, Yellow Gold",Rolex Datejust,FixedPrice
8538,8500,pre-owned,5513,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice
7900,7900,pre-owned,1803,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,StoreInventory
4544,4494,pre-owned,RD525-69BBSS,Mechanical (Automatic),Solid Gold 18K,Genuine Leather,Rolex Oyster Perpetual,Auction
9650,9600,pre-owned,Does Not Apply,Mechanical: Automatic,Stainless Steel,Crocodile Skin,Rolex GMT-Master,FixedPrice
3188,3188,pre-owned,Does not apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,FixedPrice
6418,6300,pre-owned,16000,Mechanical (Automatic),"Silver, Stainless Steel","Silver, Stainless Steel",Rolex Datejust,Auction
4800,4800,pre-owned,178274,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory
6750,6675,new with tags,126300,Mechanical (Automatic),Stainless Steel,"Silver, Stainless Steel",Rolex Datejust 41,StoreInventory
4050,4000,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Datejust,FixedPrice
3030,3000,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,FixedPrice
3850,3850,pre-owned,7250,Automatic,"18K White gold, Stainless Steel",Stainless Steel,Rolex Lady-Datejust,StoreInventory
3525,3500,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Datejust,FixedPrice
7101,6990,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Datejust,StoreInventory
4873,4873,pre-owned,116660,Mechanical: Automatic,Stainless Steel,Stainless Steel,Rolex Sea-Dweller Deepsea,FixedPrice
3300,3300,pre-owned,69163,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Datejust,Auction
6700,6700,pre-owned,16613/2160,Mechanical (Automatic),Stainless Steel,"Gold, Steel",Submariner,Auction
6940,6910,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,"Stainless Steel, Yellow Gold",Rolex Datejust,Auction
5405,5405,pre-owned,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction
3167,3167,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Datejust,Auction
5500,5500,pre-owned,DateJust,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Lady-Datejust,StoreInventory
4200,4200,pre-owned,69174,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,FixedPrice
7350,7350,pre-owned,16018,Mechanical (Automatic),Solid Gold,Genuine Leather,Rolex Datejust,StoreInventory
3500,3500,manufacturer refurbished,114200SABLSO,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,FixedPrice
6290,6290,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,FixedPrice
10138,10100,pre-owned,1675,Mechanical (Automatic),Stainless Steel,Steel,GMT Master,Auction
5000,5000,pre-owned,Does Not Apply,Mechanical (Automatic),18K Yellow Gold,18K Yellow Gold,6517,Auction
6393,6393,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice
6401,6380,pre-owned,Does Not Apply,Mechanical (Automatic),"18K Solid Yellow Gold, 3.00CT Diamond Bezel & Lugs & Dial","18K Solid Yellow Gold, 3.00CT Diamonds",68278,Auction
4250,4250,pre-owned,18038,Swiss Automatic,18K Yellow Gold,"Original Rolex 18K Yellow Gold President Bracelet, Yellow Gold",Rolex Day-Date,FixedPrice
6006,5931,pre-owned,Does Not Apply,Mechanical (Automatic),"18K Yellow Gold, 2.00CT Baguette Diamond Bezel","18K Yellow Gold, Bark Finish",6917,Auction
4299,4299,pre-owned,16013,Mechanical (Automatic),Stainless Steel,"Solid Gold, Stainless Steel",Rolex Datejust,FixedPrice
5200,5200,pre-owned,6916,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory
7000,7000,pre-owned,M50505-0020,Mechanical (Automatic),White Gold,alligator,Rolex Cellini,Auction
10600,10550,pre-owned,Does Not Apply,Mechanical: Automatic,Stainless Steel,Stainless Steel,Rolex Sea-Dweller,StoreInventory
5000,5000,pre-owned,79170,Mechanical (Automatic),Stainless Steel,Stainless Steel,Tudor Oysterdate,StoreInventory
4750,4750,pre-owned,114270,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer,StoreInventory
4350,4350,pre-owned,1601,Mechanical (Automatic),"Solid Gold, Stainless Steel","Leather, Genuine Leather",Rolex Datejust,FixedPrice
3348,3333,pre-owned,16013,Mechanical (Automatic),Stainless Steel,"18k Yellow Gold, Stainless Steel",Rolex Datejust,Auction
7950,7950,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Submariner,FixedPrice
6100,6100,pre-owned,14060M,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice
10050,10000,pre-owned,Does Not Apply,Mechanical: Automatic,Stainless Steel,Stainless Steel,Rolex Sea-Dweller,StoreInventory
6275,6275,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,FixedPrice
6215,6100,pre-owned,116900,Mechanical (Automatic),Stainless Steel,Stainless Steel,Air King,StoreInventory
5555,5555,pre-owned,16710/2180,Mechanical (Automatic),Stainless Steel,Gold,GMT Mast II,Auction
3945,3900,pre-owned,69623,Mechanical (Automatic),"18k Yellow Gold Bezel, Stainless Steel",18k Yellow Gold & Stainless Steel,Yacht-Master,StoreInventory
9521,9500,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction
3271,3250,pre-owned,Does Not Apply,Mechanical (Automatic),18K Yellow Gold,18K Yellow Gold,6517,Auction
5800,5800,pre-owned,6694,Mechanical (Hand-winding),Stainless Steel,Stainless Steel,Oysterdate,StoreInventory
4350,4350,pre-owned,4233,Mechanical (Hand-winding),Solid Gold,Crocodile Skin,Rolex Cellini,StoreInventory
3500,3500,pre-owned,169622,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Yacht-Master,FixedPrice
7475,7420,pre-owned,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction
6511,6511,pre-owned,16013,Mechanical (Automatic),Stainless Steel,"Stainless Steel, 18K Gold",Datejust,Auction
3325,3250,pre-owned,68240,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,Auction
7550,7500,pre-owned,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice
7895,7895,pre-owned,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice
3278,3278,pre-owned,1601,Mechanical: Automatic/Kinetic,"Solid Gold, Stainless Steel",Leather,Rolex Datejust,Auction
3920,3920,pre-owned,6917,Mechanical (Automatic),"Yellow Gold Crown, Stainless Steel",Genuine Leather,Rolex Lady-Datejust,FixedPrice
3300,3300,pre-owned,Does not apply,Mechanical (Automatic),Stainless Steel,"Solid Gold, Stainless Steel",Rolex Datejust,FixedPrice
5000,5000,pre-owned,178274,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,FixedPrice
7495,7495,pre-owned,Does not apply,Mechanical: Automatic,Stainless Steel,Stainless Steel,178240,FixedPrice
4800,4800,pre-owned,114300,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,FixedPrice
3799,3799,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,Auction
6350,6350,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,Auction
5017,4950,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Datejust,Auction
8600,8600,pre-owned,RLX116610LN,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory
5025,5000,pre-owned,18038,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,FixedPrice
3045,3045,new with tags,Does Not Apply,Mechanical (Automatic),Titanium,Titanium,Tudor Pelagos,Auction
3050,3050,pre-owned,16014,Mechanical (Automatic),Stainless Steel,Stainless Steel,DateJust,Auction
7900,7900,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Submariner,FixedPrice
3350,3350,pre-owned,1500,Mechanical (Automatic),"Gold, Stainless Steel","Gold, Stainless Steel",Rolex Date,StoreInventory
9695,9695,new with tags,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory
3295,3295,pre-owned,1601,Mechanical (Automatic),"Solid Gold, Stainless Steel",Genuine Leather,Rolex Datejust,Auction
3000,3000,pre-owned,15210,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Date,StoreInventory
3000,3000,pre-owned,Does not apply,Mechanical Automatic,Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,StoreInventory
3900,3900,pre-owned,Does not apply,Mechanical (Automatic),Stainless Steel and Solid 18K Gold,Genuine Leather,Rolex 16013,StoreInventory
3505,3495,pre-owned,16263,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Datejust,Auction
3023,3008,pre-owned,1601,Mechanical (Automatic),"Silver, Stainless Steel","Silver, Stainless Steel",Rolex Datejust,Auction
3179,3160,pre-owned,116710BLNR,Mechanical (Automatic),"Stainless Steel, Ceramic",Ceramic,GMT Master II,Auction
10000,10000,pre-owned,18078,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,StoreInventory
4300,4250,pre-owned,9630,Mechanical (Hand-winding),Gold,Gold,King Midas,Auction
6000,6000,pre-owned,16803,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory
3388,3388,pre-owned,Does not apply,Mechanical: Automatic,Stainless Steel,Stainless Steel,6916,StoreInventory
6311,6311,pre-owned,18038,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,FixedPrice
6000,6000,pre-owned,68273,Mechanical (Automatic),Stainless Steel,"Stainless Steel, Yellow Gold",Rolex Datejust,StoreInventory
3600,3600,pre-owned,1601,Mechanical (Automatic),"Solid Gold, Stainless Steel",Leather,Rolex Datejust,StoreInventory
5000,5000,pre-owned,Does not apply,Mechanical (Automatic),Stainless Steel,"Stainless Steel, Yellow Gold",Rolex Datejust,FixedPrice
3815,3750,pre-owned,1550,Mechanical (Automatic),"Gold Shell, Stainless Steel",Leather,Rolex Date,FixedPrice
4915,4850,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,StoreInventory
4995,4995,pre-owned,168622,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Yacht-Master,StoreInventory
4750,4750,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Explorer I 214270,FixedPrice
10100,10000,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Datejust,FixedPrice
5800,5800,pre-owned,16803,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory
4060,4000,pre-owned,6917,Mechanical (Automatic),Solid Gold,Genuine Leather,Rolex Lady-Datejust,FixedPrice
4500,4500,pre-owned,69173,Mechanical (Automatic),Stainless Steel,"18K Yellow Gold, Stainless Steel",Rolex Datejust,StoreInventory
6014,6000,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory
3300,3300,pre-owned,1625,Mechanical (Automatic),Stainless Steel,"Gold, Steel",Datejust,Auction
5043,5043,pre-owned,16570,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,FixedPrice
10592,10592,pre-owned,16523,Mechanical (Automatic),"Solid Gold, Stainless Steel","Solid Gold, Stainless Steel",DAYTONA,FixedPrice
3706,3706,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Datejust,Auction
7000,7000,new with tags,178274,Mechanical: Automatic,Stainless Steel,Stainless Steel,Rolex Midsize Datejust,StoreInventory
6100,6100,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,FixedPrice
4494,4494,pre-owned,3187,Mechanical (Hand-winding),Solid Gold,Solid Gold,Rolex Precision,StoreInventory
7594,7594,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Datejust,FixedPrice
9390,9380,pre-owned,18038,Mechanical (Automatic),Solid Gold,Genuine Leather,Rolex President,StoreInventory
9000,9000,pre-owned,16660,Mechanical: Automatic,Stainless Steel,Stainless Steel,Sea-Dweller,FixedPrice
3323,3300,pre-owned,3806,Mechanical (Hand-winding),Solid Gold,Genuine Leather,Rolex Cellini,StoreInventory
8985,8985,pre-owned,116660,Mechanical: Automatic,Stainless Steel,Stainless Steel,Rolex Sea-Dweller Deepsea,FixedPrice
7775,7750,pre-owned,Does not apply,Mechanical: Automatic,Stainless Steel,Stainless Steel,GMT-Master II 116710,StoreInventory
6990,6990,pre-owned,18038,Mechanical: Automatic,18K Yellow Gold,18K Yellow Gold,18038 18K Yellow Gold Day-Date,FixedPrice
6350,6350,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Submariner,FixedPrice
5450,5450,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer,StoreInventory
5500,5500,pre-owned,1803,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,FixedPrice
7925,7900,pre-owned,18239,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,FixedPrice
3900,3900,pre-owned,Does not apply,Mechanical (Automatic),"Silver, Stainless Steel","Silver, Stainless Steel",Rolex Datejust,Auction
8140,8100,pre-owned,1803,Mechanical (Automatic),Solid Gold,Genuine Leather,Rolex President,Auction
6500,6500,pre-owned,69173,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 10k Yellow Gold,Rolex Datejust,Auction
3118,3100,pre-owned,Does not apply,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Datejust,FixedPrice
6055,6055,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,FixedPrice
4795,4750,pre-owned,116200,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory
10500,10500,new with tags,Does not apply,Mechanical (Automatic),Stainless Steel,Ceramic,Rolex GMT-Master II,FixedPrice
5000,5000,pre-owned,Does Not Apply,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex Datejust,Auction
7500,7500,pre-owned,Does Not Apply,Mechanical (Automatic),Gold,Leather,Rolex Oyster Perpetual,FixedPrice
10700,10700,pre-owned,18239,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,FixedPrice
3750,3750,pre-owned,16220,Mechanical (Automatic),Stainless Steel,Stainless Steel,datajust,Auction
7500,7500,pre-owned,6517,Automatic,"Solid Gold, Rose Gold",Rose Gold,Rolex Lady-Datejust,Auction
6350,6350,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Submariner,FixedPrice
4375,4350,pre-owned,1601,Mechanical (Automatic),"Solid Gold, Stainless Steel","Stainless & Solid Gold, Solid Gold, Stainless Steel",Rolex Datejust,Auction
7225,7200,pre-owned,116688,Mechanical (Automatic),18K Yellow Gold,18K Yellow Gold,Rolex Yacht-Master II,Auction
5458,5400,pre-owned,216570,Mechanical: Automatic,Stainless Steel,Stainless Steel,Explorer II,StoreInventory
9200,9200,pre-owned,16623,Mechanical (Automatic),"Gold, Stainless Steel","Stainless Steel, Yellow Gold",Yacht Master,StoreInventory
8100,8100,pre-owned,Does not apply,Mechanical: Automatic,Stainless Steel,Stainless Steel,GMT-Master II 116710,FixedPrice
3689,3689,pre-owned,16014,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory
4191,4191,pre-owned,178240,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex DateJust,Auction
3320,3300,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,MPN 1500,StoreInventory
3860,3760,pre-owned,116660,Mechanical: Automatic,Stainless Steel,Stainless Steel,Rolex Sea-Dweller Deepsea,StoreInventory
7855,7800,pre-owned,116613,Mechanical (Automatic),Stainless Steel,Leather,Rolex Submariner,StoreInventory
5000,5000,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,Auction
4200,4200,pre-owned,76100,Mechanical (Automatic),Stainless Steel,Stainless Steel,Submariner,Auction
8017,8000,pre-owned,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice
3455,3400,pre-owned,1601,Mechanical (Automatic),"Silver, Stainless Steel","Silver, Stainless Steel",Rolex Datejust,Auction
9495,9495,pre-owned,16713,Mechanical (Automatic),Stainless Steel,"18K Yellow Gold, Stainless Steel, Yellow Gold",Rolex GMT-Master II,FixedPrice
3015,3000,pre-owned,6619,Mechanical: Automatic,Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,Auction
5600,5600,pre-owned,18248,Mechanical (Automatic),Solid Gold,"Crocodile Skin, Solid Gold",Rolex President,FixedPrice
6025,5950,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 10k Yellow Gold,Rolex Oyster Perpetual,StoreInventory
